Sl No,Date,URL,Review_Title,Author,Rating,Review_text,Review_helpful
2644,on 9 December 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=265,Four Stars,ritesh kumar,4.0 out of 5 stars,Its well and working fine,|Was this review helpful to you?YesNo
2645,on 8 December 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=265,Five Stars,SIPUN DANTA,5.0 out of 5 stars,Working very good.,|Was this review helpful to you?YesNo
2646,on 8 December 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=265,Three Stars,Amazon Customer,3.0 out of 5 stars,Product is working good whereas Seller didnt shared all the mentioned items. Be careful,|Was this review helpful to you?YesNo
2647,on 8 December 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=265,Three Stars,Amazon Customer,3.0 out of 5 stars,quite good to handle,|Was this review helpful to you?YesNo
2648,on 7 December 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=265,The product is very good and genuine,Harikesh [Krishna Yadav],5.0 out of 5 stars,I purchased an electronic item first time from this website. The product is very good and genuine. Service from the bajaj is also free without any difficulty. Amazon is a very very good website in the list of online shopping website. I Like this website very much.,"|
      3 people found this helpful.
    
  Was this review helpful to you?YesNo"
2649,on 7 December 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=265,Four Stars,Anil,4.0 out of 5 stars,Good product serves the purpose...,|Was this review helpful to you?YesNo
2650,on 7 December 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=266,Bajaj Rex -500 Watt Mixer Grinder,urvashi mishra,4.0 out of 5 stars,The product is good and I recommend to go for it.,|Was this review helpful to you?YesNo
2651,on 7 December 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=266,Five Stars,Amazon Customer,5.0 out of 5 stars,It is so good to mixture any Product and easy to carry anywhere,|Was this review helpful to you?YesNo
2652,on 5 December 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=266,"too much noise, otherwise it's a very nice product.",Arjun,4.0 out of 5 stars,"Go for it , but keep in mind that it's gonna make some noise which can irritate you. There is no other issue with this product, I'm a satisfied user.",|Was this review helpful to you?YesNo
2653,on 5 December 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=266,Five Stars,DR.RATNAKAR REDDY,5.0 out of 5 stars,Excellent product...,|Was this review helpful to you?YesNo
2654,on 5 December 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=266,"Cheap, but very noisy and hard to operate.",Vinod kumat,2.0 out of 5 stars,"The product arrived on time on 3 Dec, but on installation, we find that it is making a lot of noise as if somebody is running a drill machine, when it is operated. Also, its switch is very hard, compared to my previous Bajaj FX11 Food Processor.I would like to change the piece and replace it with a better one.","|
      One person found this helpful.
    
  Was this review helpful to you?YesNo"
2655,on 4 December 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=266,Four Stars,tutul banerjee,4.0 out of 5 stars,Product is good but it has same technical issues. It's not working,|Was this review helpful to you?YesNo
2656,on 3 December 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=266,Five Stars,Amazon Customer,5.0 out of 5 stars,Standard,|Was this review helpful to you?YesNo
2657,on 3 December 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=266,Satisfied,Sandeep,5.0 out of 5 stars,Working well,|Was this review helpful to you?YesNo
2658,on 2 December 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=266,nice product,Suraj Yadav,5.0 out of 5 stars,nice product. working fine.,|Was this review helpful to you?YesNo
2659,on 2 December 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=266,Four Stars,sanjay d.,4.0 out of 5 stars,Very good product at low price and nice packing and good delivery,|Was this review helpful to you?YesNo
2660,on 2 December 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=267,Five Stars,Amazon Customer,5.0 out of 5 stars,"Good product, value for money.",|Was this review helpful to you?YesNo
2661,on 2 December 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=267,Four Stars,Wilfred Clarence,4.0 out of 5 stars,Good nice ....,|Was this review helpful to you?YesNo
2662,on 2 December 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=267,Good product,Dewanshu Arora,4.0 out of 5 stars,"Amazing amazon fast delivery.Product quality is good, though sound is little high, but overall good product from Bajaj.",|Was this review helpful to you?YesNo
2663,on 2 December 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=267,Five Stars,saifee,5.0 out of 5 stars,GOOD MIXER,|Was this review helpful to you?YesNo
2664,on 2 December 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=267,Good Quality but Very Noisy,Abhishek kumar,3.0 out of 5 stars,"Even though it is new, it sounds like old mixer grinder. But the blades are very fine. Overall mixer is Ok.",|Was this review helpful to you?YesNo
2665,on 2 December 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=267,Satisfied with the mixie,Amazon Customer,4.0 out of 5 stars,Value buy,|Was this review helpful to you?YesNo
2666,on 1 December 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=267,Overall a good product,sudhir Kumar Mishra,3.0 out of 5 stars,The best thing I liked about this product is its slim design that insures very low foot print. Motor is powerful and noice level is also low,|Was this review helpful to you?YesNo
2667,on 1 December 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=267,Great product,BeeMols,5.0 out of 5 stars,"Works well, easy to use and clean.",|Was this review helpful to you?YesNo
2668,on 30 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=267,Four Stars,Amazon Customer,4.0 out of 5 stars,Good pruduct and deliver  immediatly,|Was this review helpful to you?YesNo
2669,on 30 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=267,internally damaged product,Nilam Kalita,2.0 out of 5 stars,Bakwas product ... Got Damaged ... Make too much sound and some times electricity connection losses .... Product delivered in good condition but after 2 days it start make unbearable sounds .....,|Was this review helpful to you?YesNo
2670,on 30 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=268,Three Stars,Amazon Customer,3.0 out of 5 stars,Little low quality,|Was this review helpful to you?YesNo
2671,on 29 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=268,Five Stars,Amazon Customer,5.0 out of 5 stars,Good,|Was this review helpful to you?YesNo
2672,on 29 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=268,Good product and quality product packaging is good,ashis roy,4.0 out of 5 stars,Good product  and quality product packaging is good.,|Was this review helpful to you?YesNo
2673,on 28 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=268,One Star,Asutosh Pandey,1.0 out of 5 stars,defective product delivered twice...,|Was this review helpful to you?YesNo
2674,on 28 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=268,Five Stars,Amazon Customer,5.0 out of 5 stars,Excellent...,|Was this review helpful to you?YesNo
2675,on 28 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=268,Four Stars,Bishwajit Saikia,4.0 out of 5 stars,Great product...works fine and greatly minimizes the efforts in kitchen...,|Was this review helpful to you?YesNo
2676,on 28 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=268,Three Stars,Amazon Customer,3.0 out of 5 stars,Very good item and so compact..,|Was this review helpful to you?YesNo
2677,on 27 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=268,Not Satisfactory Product It creates to much noise. It ...,Amazon Customer,1.0 out of 5 stars,Not Satisfactory Product It creates to much noise. It does not have ISI Mark.Seems to be Duplicate Bajaja Mixer,|Was this review helpful to you?YesNo
2678,on 26 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=268,Don't buy,Amazon Customer,1.0 out of 5 stars,Bad quality don't buy thz .only u can use one month,|Was this review helpful to you?YesNo
2679,on 26 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=268,One Star,suraj,1.0 out of 5 stars,this was not even working...,|Was this review helpful to you?YesNo
2680,on 26 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=269,Five Stars,Amazon Customer,5.0 out of 5 stars,fine,|Was this review helpful to you?YesNo
2681,on 25 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=269,Five Stars,Amazon Customer,5.0 out of 5 stars,Excellent,|Was this review helpful to you?YesNo
2682,on 24 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=269,Four Stars,Amazon Customer,4.0 out of 5 stars,ok,|Was this review helpful to you?YesNo
2683,on 24 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=269,Four Stars,san,4.0 out of 5 stars,good buy,|Was this review helpful to you?YesNo
2684,on 23 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=269,Five Stars,R,5.0 out of 5 stars,It is good!,|Was this review helpful to you?YesNo
2685,on 23 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=269,Four Stars,Amazon Customer,4.0 out of 5 stars,Nice product...,|Was this review helpful to you?YesNo
2686,on 23 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=269,Stricly OK,Amazon Customer,3.0 out of 5 stars,Too noisy. started malfunctioning after 8 months.,|Was this review helpful to you?YesNo
2687,on 23 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=269,Poor quality jars,Gaurav Wanjre,2.0 out of 5 stars,"Too much noisy, Poor quality jars.Watery substances while mixing, will be spilled out by the time it take the 2nd gear.Poor product from Bajaj.Given 1 extra star for Amazon's timely delivery and good service.",|Was this review helpful to you?YesNo
2688,on 22 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=269,Five Stars,Amazon Customer,5.0 out of 5 stars,it is very good product,|Was this review helpful to you?YesNo
2689,on 22 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=269,Five Stars,Mantu V.,5.0 out of 5 stars,"great product, working very nice",|Was this review helpful to you?YesNo
2690,on 22 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=270,Defective product,Lahari Sarkar,1.0 out of 5 stars,Very bad experience. The mixer won't start. Will definitely think twice from the next time before buying any electronic product online.,|Was this review helpful to you?YesNo
2691,on 22 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=270,Four Stars,Atish,4.0 out of 5 stars,Mom liked the surprise.Timely delivery.,|Was this review helpful to you?YesNo
2692,on 21 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=270,One Star,Amazon Customer,1.0 out of 5 stars,Your product are Dames I am very unhappy,|Was this review helpful to you?YesNo
2693,on 21 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=270,Four Stars,Amazon Customer,4.0 out of 5 stars,nice product,|Was this review helpful to you?YesNo
2694,on 21 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=270,Good Purchase!,Arun Kudiya,4.0 out of 5 stars,Good product! Best in Quality.,|Was this review helpful to you?YesNo
2695,on 20 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=270,a thing without warnty,Amazon Customer,1.0 out of 5 stars,i received an unsigned warnty card,|Was this review helpful to you?YesNo
2696,on 20 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=270,Four Stars,Satish,4.0 out of 5 stars,good product,|Was this review helpful to you?YesNo
2697,on 20 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=270,Three Stars,P.NAGABHUSHANAM,3.0 out of 5 stars,Thank you,|Was this review helpful to you?YesNo
2698,on 19 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=270,Five Stars,Amazon Customer,5.0 out of 5 stars,awesome,|Was this review helpful to you?YesNo
2699,on 19 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=270,Five Stars,Deblina,5.0 out of 5 stars,Best product. Lovin it,|Was this review helpful to you?YesNo
2700,on 19 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=271,Five Stars,ANSHUMAN MATHUR,5.0 out of 5 stars,No second thought should come in mind while purchasing this product. Working very well.,|Was this review helpful to you?YesNo
2701,on 18 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=271,Worth while purchase,Sudhir B.,4.0 out of 5 stars,"Good one, no problem at all",|Was this review helpful to you?YesNo
2702,on 18 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=271,Small family product,FARAH MAZID,4.0 out of 5 stars,Got at a higher price but product is good till now brought 2 months back,|Was this review helpful to you?YesNo
2703,on 17 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=271,The grinder sometime stop to working,Amazon Customer,5.0 out of 5 stars,This item is good but sometimes its not working. It stop to respond anything.So kindlly give me suggestion about that problem,|Was this review helpful to you?YesNo
2704,on 17 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=271,Poor quality. Waste of money,Tushar Ranjan Choudhury,1.0 out of 5 stars,Poor quality product. Waste of money,|Was this review helpful to you?YesNo
2705,on 17 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=271,Four Stars,Amazon Customer,4.0 out of 5 stars,ok working fine...,|Was this review helpful to you?YesNo
2706,on 17 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=271,This Mixy is not working at all and giving huge ...,Moninder,1.0 out of 5 stars,This Mixy is not working at all and giving huge problems.....already complained to Bajaj but not answered the query as it is not grinding anything.....,|Was this review helpful to you?YesNo
2707,on 17 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=271,Four Stars,Nitin Deb,4.0 out of 5 stars,Good product,|Was this review helpful to you?YesNo
2708,on 16 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=271,Good product with fast delivery,Kamalakar Nandre,5.0 out of 5 stars,"Its good, working well from last six months.Buy without hesitation.",|Was this review helpful to you?YesNo
2709,on 16 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=271,Good mixer grinder at this price,kumar saurabh,5.0 out of 5 stars,Good mixer grinder at this price. Buy it if you want to use it for dry masala grinding or chutney.,|Was this review helpful to you?YesNo
2710,on 16 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=272,One Star,Amazon Customer,1.0 out of 5 stars,The bigger jar is useless. It does not grind at all.,|Was this review helpful to you?YesNo
2711,on 15 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=272,Product works fine.,SUBHRAJIT DEY,5.0 out of 5 stars,Delivered on time. Product works fine.,|Was this review helpful to you?YesNo
2712,on 15 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=272,Four Stars,dhaneshnair,4.0 out of 5 stars,Looks very sturdy and nice in the price range. Couldnt explore more though,|Was this review helpful to you?YesNo
2713,on 15 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=272,Product worth the price that I purchased for. However ...,Arshia Suman,3.0 out of 5 stars,Product worth the price that I purchased for.  However the blades of the jar were slightly dented and the lid full of scratches. Does amazon sell products that are rejected and returned by other customers?,|Was this review helpful to you?YesNo
2714,on 14 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=272,very bad product.,Amazon Customer,1.0 out of 5 stars,"Kabaad product, jab first time mix start kiya to itna dhuwa nikla. Fura kitchen jalne ki badbu se bhar gaya. 2 3 baar try kiya but dhuwa kam nahi huwa. Use karne dar lag raha hai ab to.",|Was this review helpful to you?YesNo
2715,on 13 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=272,zero star,ghanshyam jethani,3.0 out of 5 stars,Stopped working in less than 30 days .speed nob is faulty. No body is attending after putting complain to customer care.,|Was this review helpful to you?YesNo
2716,on 12 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=272,Four Stars,Md. Saider Ali,4.0 out of 5 stars,Good,|Was this review helpful to you?YesNo
2717,on 12 November 2015,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=272,Good,Shashidhar M S,5.0 out of 5 stars,Good quality. Great price. Shipping as promised.,|Was this review helpful to you?YesNo
